id,room_type,price_per_night,minimum_nights,rating,number_of_reviews,availability,neighbourhood_group,neighbourhood,latitude,longitude
5121,Private room,60,30,4.52,50,0,Brooklyn,Bedford-Stuyvesant,40.68535,-73.95512
2595,Entire home/apt,240,30,4.68,49,325,Manhattan,Midtown,40.75356,-73.98559
14991,Private room,120,5,4.93,22,268,Manhattan,Lower East Side,40.72207,-73.98976
5136,Entire home/apt,276,21,5.0,3,275,Brooklyn,Sunset Park,40.66265,-73.99454
59709,Entire home/apt,325,7,4.77,69,38,Manhattan,Chinatown,40.7178,-73.9932
5178,Private room,68,2,4.26,589,10,Manhattan,Midtown,40.76457,-73.98317
15341,Entire home/apt,315,30,4.56,35,160,Manhattan,Lower East Side,40.721359,-73.993668
5203,Private room,75,2,4.91,118,0,Manhattan,Upper West Side,40.8038,-73.96751
5803,Private room,134,3,4.71,233,148,Brooklyn,South Slope,40.66801,-73.98784
60164,Entire home/apt,500,30,4.39,110,45,Manhattan,Tribeca,40.72012,-74.00397
15385,Private room,91,7,4.86,53,225,Brooklyn,Williamsburg,40.71211,-73.96397
15396,Entire home/apt,400,90,5.0,5,107,Manhattan,Chelsea,40.74493,-73.99521
60181,Entire home/apt,160,31,4.8,38,3,Manhattan,East Village,40.7253,-73.98028
60457,Entire home/apt,250,30,4.88,10,0,Manhattan,Greenwich Village,40.73072,-73.99275
6848,Entire home/apt,81,30,4.57,189,152,Brooklyn,Williamsburg,40.70935,-73.95342
16338,Private room,55,30,4.64,32,66,Brooklyn,Clinton Hill,40.69121,-73.96804
6872,Private room,65,30,0.0,1,277,Manhattan,East Harlem,40.80107,-73.94255
60611,Entire home/apt,135,30,4.84,194,115,Manhattan,East Harlem,40.792667388916016,-73.946533203125
16580,Private room,143,1,4.79,502,155,Manhattan,East Village,40.72489,-73.9781
60666,Private room,111,3,4.73,268,19,Manhattan,Harlem,40.81006,-73.94559
6990,Private room,72,30,4.88,245,204,Manhattan,East Harlem,40.78778,-73.94759
16821,Private room,162,1,4.72,179,4,Manhattan,East Village,40.72281,-73.98501
60673,Private room,125,30,5.0,3,0,Manhattan,Harlem,40.81562,-73.94674
16974,Entire home/apt,300,30,4.85,281,165,Manhattan,East Harlem,40.8019,-73.93762
60680,Entire home/apt,99,30,4.53,165,352,Manhattan,East Village,40.72598,-73.97978
17037,Entire home/apt,220,30,4.8,53,168,Manhattan,East Village,40.72289,-73.98028
60794,Entire home/apt,211,30,5.0,4,0,Manhattan,Upper West Side,40.79918,-73.96248
17693,Private room,85,2,4.9,67,338,Manhattan,Washington Heights,40.83253,-73.94108
61509,Entire home/apt,110,200,4.23,92,0,Manhattan,Midtown,40.75743,-73.96825
18018,Entire home/apt,215,30,0.0,0,249,Manhattan,Lower East Side,40.7209818,-73.9931495
7064,Private room,95,7,4.91,13,0,Brooklyn,Williamsburg,40.71248,-73.95881
18152,Private room,500,30,4.41,148,331,Manhattan,Upper East Side,40.76967,-73.94831
7097,Private room,205,2,4.88,334,277,Brooklyn,Fort Greene,40.69172372653903,-73.97388146351311
62891,Entire home/apt,175,4,4.3,231,186,Manhattan,East Village,40.72297,-73.98265
18728,Private room,195,4,4.95,240,247,Manhattan,Chelsea,40.74261,-74.00353
62925,Entire home/apt,325,3,4.81,164,106,Brooklyn,Greenpoint,40.72967,-73.95352
63588,Private room,89,30,0.0,0,0,Bronx,Clason Point,40.81161,-73.85499
7801,Entire home/apt,395,30,4.88,10,338,Brooklyn,Williamsburg,40.71778,-73.9568
